tx_id,user_id,amount,anomaly_score
129283,U1227,1355.93,0.8363353448551203
144453,U1252,1395.19,0.8153954855439927
116124,U1373,1960.64,0.8049028453558629
111839,U1173,556.33,0.8007303039273692
162311,U1371,1517.53,0.800494314216039
112294,U1173,498.59,0.7922977343978853
105974,U1252,873.61,0.7919101046371755
120980,U1359,1365.45,0.7877507428910638
151248,U1370,1341.23,0.7824885091343915
117852,U1173,896.41,0.7793538535569522
151765,U1173,815.79,0.77808894279974
167634,U1371,1203.6,0.7731422674061589
130128,U1371,1196.06,0.7679877978222799
123980,U1052,1092.38,0.7666953481621511
147329,U1230,1852.08,0.7665249929757668
144339,U1332,1176.96,0.7657496271491363
104589,U1300,667.49,0.7609587805086591
125969,U1165,940.23,0.7590951504085568
128459,U1138,1082.15,0.7516274118833919
116668,U1370,1082.45,0.7494603027287684
156421,U1197,1159.53,0.7483274222985637
132106,U1374,1094.52,0.7480906471750522
102191,U1197,878.21,0.7460369903566967
127326,U1153,1505.85,0.7438739222207231
131825,U1016,1266.23,0.7415554892186003
155886,U1139,1518.76,0.7407066083957107
113962,U1173,775.55,0.7367885818990246
115051,U1173,774.8,0.7362758248019939
161682,U1217,1601.53,0.729019097348292
128878,U1284,1352.49,0.7280328516973414
155732,U1197,915.52,0.7276162250524715
114711,U1059,1371.41,0.7275104633191549
109785,U1227,870.51,0.7263241561034374
102879,U1138,786.01,0.7255539167015708
131128,U1016,1129.12,0.725161544372667
163510,U1093,1237.88,0.7248406086080876
128885,U1227,5.0,0.7242799359159798
129342,U1227,149.68,0.7211443810362488
111829,U1016,1167.92,0.7202921457608685
162240,U1252,841.94,0.7158726239415376
118054,U1165,885.09,0.7156107789417112
150596,U1239,1385.69,0.7151930129094637
148122,U1043,1165.97,0.7140234062638144
129171,U1227,58.07,0.7132338020958424
164243,U1223,1709.84,0.7126833589251179
105511,U1374,947.21,0.7107644389885213
110348,U1007,1773.8,0.7102598487709739
126839,U1373,916.91,0.7084595228959386
148616,U1348,903.13,0.7077954976812716
128704,U1227,87.61,0.7076543201814106
148093,U1291,1448.89,0.7067918663154639
129385,U1227,121.22,0.7057585115412531
160137,U1075,1506.73,0.7053723259720741
150143,U1227,842.19,0.7036752134240065
151447,U1306,1303.81,0.703042954880511
130934,U1118,1643.29,0.701614563783981
127912,U1132,721.7,0.7001634494501328
166973,U1392,970.53,0.6999938918846906
111964,U1180,1315.34,0.6996724195675511
140309,U1391,1531.6,0.6994821933744066
114215,U1353,1055.47,0.6994090487173781
150399,U1163,1020.35,0.6988772222577367
112173,U1173,125.98,0.6987793842854209
122785,U1389,2077.79,0.6974184599833021
165493,U1338,1088.75,0.6973675966854249
153686,U1382,1491.63,0.6972485146387173
100917,U1343,1293.53,0.6972271053732031
151872,U1160,855.65,0.6964319583279367
115373,U1172,1311.57,0.6961564517353606
108743,U1384,1058.45,0.6954862602653463
112990,U1222,1257.69,0.6951041231585673
135231,U1184,1249.58,0.6949556914509863
103587,U1215,1245.74,0.6948198995368333
111544,U1180,1292.16,0.6942292868902957
137247,U1343,1261.77,0.6928662470210587
125771,U1180,1320.49,0.6910769337135745
119110,U1039,1429.77,0.6903334669432722
110009,U1374,803.56,0.6900056048636856
142170,U1177,1230.1,0.6898645184239459
147109,U1288,964.27,0.6883202294752572
145619,U1052,1334.0,0.6880654519402295
102668,U1100,1389.01,0.6879339040218073
130004,U1248,1405.45,0.6849119313807451
112429,U1173,58.32,0.6838401791923072
111826,U1173,57.52,0.6832399229937431
112114,U1284,996.99,0.6829814238222686
102585,U1387,1204.85,0.6828600578931868
131968,U1197,1042.41,0.6823223124438276
123179,U1208,1228.15,0.6821757316423914
128070,U1195,1027.14,0.6819507665348955
166396,U1147,1028.17,0.6807445751986606
144445,U1381,1304.51,0.679938847587858
144858,U1381,1153.54,0.679938847587858
141573,U1321,1265.29,0.6798400280600921
108234,U1376,1366.3,0.6788391455970663
112141,U1173,64.7,0.6775643853768608
120120,U1136,1133.47,0.677252215046097
145286,U1359,618.83,0.6763615056825877
127733,U1286,1139.13,0.6759483251691365
111788,U1385,1524.2,0.6753447244939464
112283,U1156,1103.39,0.6749313027019349
106376,U1273,1073.47,0.6745561517303227
129299,U1209,1392.68,0.6741501610893893
142528,U1215,1213.61,0.6738056246403837
144532,U1252,5.0,0.6727549040405344
162713,U1202,1015.8,0.6726463764116692
161287,U1297,1607.74,0.6725574455952811
114875,U1177,1215.74,0.6719016669382837
125235,U1069,1314.84,0.6712500054997418
166215,U1362,1140.82,0.670963425025362
111690,U1254,887.57,0.6695877686629796
157957,U1260,1330.13,0.6679268161387001
126396,U1116,1223.91,0.6673644937458749
126820,U1284,925.81,0.6671216943207507
118056,U1337,1187.02,0.6666776545431898
131047,U1125,1452.52,0.6659839065697234
144356,U1070,1092.29,0.6656908320756402
151852,U1173,212.11,0.6650687460910131
117057,U1153,922.67,0.6632406043257763
131934,U1362,1085.17,0.6632324162129433
